k,date,weekday,month,publication_hour,s_r,recent_h_start,recent_h_end,recent_interval_start,recent_interval_end,n_valid_slots,valid,b_kW,e_slot_30_kW,e_slot_31_kW,e_slot_32_kW,e_slot_33_kW,e_slot_34_kW,e_slot_35_kW,e_slot_66_kW,e_slot_67_kW,e_slot_68_kW,e_slot_69_kW,e_slot_70_kW,e_slot_71_kW,e_slot_102_kW,e_slot_103_kW,e_slot_104_kW,e_slot_105_kW,e_slot_106_kW,e_slot_107_kW
272,2025-09-30,1,2025-09,6,36,30,35,2025-09-30 05:00:00,2025-09-30 06:00:00,6,True,30.70312713982109,265.6563463941252,99.4756772847145,12.780313370043586,-2.770175334787382,-93.77931292723724,-97.14408594793213,,,,,,,,,,,,
273,2025-10-01,2,2025-10,6,36,30,35,2025-10-01 05:00:00,2025-10-01 06:00:00,6,True,28.454722724357907,-41.14115946211268,118.84995386728315,99.0012526981759,-76.03521225461009,-51.72936867436647,121.78287017177763,,,,,,,,,,,,
274,2025-10-02,3,2025-10,6,36,30,35,2025-10-02 05:00:00,2025-10-02 06:00:00,6,True,27.518298743354006,-84.17665380593144,-93.12223908152873,-53.62740611324398,78.07293309617444,67.0497112033363,250.91344716131744,,,,,,,,,,,,
275,2025-10-03,4,2025-10,6,36,30,35,2025-10-03 05:00:00,2025-10-03 06:00:00,6,True,71.8483724345117,-14.681418113743803,-24.128918762862213,6.799638218217751,48.077206819596086,177.70126470079686,237.32246174506554,,,,,,,,,,,,
276,2025-10-04,5,2025-10,6,36,30,35,2025-10-04 05:00:00,2025-10-04 06:00:00,6,True,95.33297882719155,251.67593785621648,174.2385208617593,159.83284783985573,145.05916987591218,-150.9485400824251,-7.860063388169237,,,,,,,,,,,,
277,2025-10-05,6,2025-10,6,36,30,35,2025-10-05 05:00:00,2025-10-05 06:00:00,6,True,121.64974751904674,329.4874248684205,190.1783512407551,102.095611530724,69.33846687705181,21.13066139823286,17.667969199096206,,,,,,,,,,,,
278,2025-10-06,0,2025-10,6,36,30,35,2025-10-06 05:00:00,2025-10-06 06:00:00,6,True,93.49751824881007,66.0795460999584,168.51682931483856,152.73693844414083,84.02336742522994,90.21271153153066,-0.5842833228380186,,,,,,,,,,,,
279,2025-10-07,1,2025-10,6,36,30,35,2025-10-07 05:00:00,2025-10-07 06:00:00,6,True,93.38820697606873,-32.35859550077339,73.043274107054,138.49514980435788,124.56379281090403,111.88153902999693,144.70408160487295,,,,,,,,,,,,
280,2025-10-08,2,2025-10,6,36,30,35,2025-10-08 05:00:00,2025-10-08 06:00:00,6,True,32.2603168945105,132.7769807944601,69.36873749408551,-50.074404666974715,-0.607806173552035,42.246222653585846,-0.1478287345416902,,,,,,,,,,,,
281,2025-10-09,3,2025-10,6,36,30,35,2025-10-09 05:00:00,2025-10-09 06:00:00,6,True,57.7809086755592,178.05820330178403,-123.95674618912335,-157.80324296493654,106.41196068739237,267.62472842089073,76.35054879734798,,,,,,,,,,,,
282,2025-10-10,4,2025-10,6,36,30,35,2025-10-10 05:00:00,2025-10-10 06:00:00,6,True,59.12811978338467,31.49460722862068,169.4171663954703,162.40096639547028,-66.50935317139874,-29.11207399902014,87.07740585116562,,,,,,,,,,,,
283,2025-10-11,5,2025-10,6,36,30,35,2025-10-11 05:00:00,2025-10-11 06:00:00,6,True,-18.02624756242282,-231.73542804734325,-92.22604237266887,144.5143825302771,111.5642588088308,2.9701387997702113,-43.2447950934029,,,,,,,,,,,,
284,2025-10-12,6,2025-10,6,36,30,35,2025-10-12 05:00:00,2025-10-12 06:00:00,6,True,65.02886875869315,-17.734416728404085,270.55119703718856,162.50702204857544,-117.95324773424954,12.221839042959346,80.58081888608922,,,,,,,,,,,,
285,2025-10-13,0,2025-10,6,36,30,35,2025-10-13 05:00:00,2025-10-13 06:00:00,6,True,61.76415005461346,270.29718576523373,124.86878794378708,-66.67802729569166,-132.40007020677922,2.442737351652795,172.05428676947804,,,,,,,,,,,,
286,2025-10-14,1,2025-10,6,36,30,35,2025-10-14 05:00:00,2025-10-14 06:00:00,6,True,112.8884060872493,96.44927507567581,23.793110951102335,103.35066091927547,196.2618822114564,181.04126326946744,76.43424409651834,,,,,,,,,,,,
287,2025-10-15,2,2025-10,6,36,30,35,2025-10-15 05:00:00,2025-10-15 06:00:00,6,True,-15.922068853362665,13.57296189571025,-109.29291016983643,-86.1198448760274,-38.70979269041209,77.85568470784347,47.161488012546215,,,,,,,,,,,,
288,2025-10-16,3,2025-10,6,36,30,35,2025-10-16 05:00:00,2025-10-16 06:00:00,6,True,152.86554360499304,68.16139925256766,325.27919067868015,316.63922564359655,46.509420268482245,51.889543359184245,108.71448242744736,,,,,,,,,,,,
289,2025-10-17,4,2025-10,6,36,30,35,2025-10-17 05:00:00,2025-10-17 06:00:00,6,True,56.93473114046461,50.71796736135502,69.30707447314262,74.9542744731425,48.58134014885991,73.46196316592386,24.585767220363778,,,,,,,,,,,,
290,2025-10-18,5,2025-10,6,36,30,35,2025-10-18 05:00:00,2025-10-18 06:00:00,6,True,77.58041197654454,263.17654835282246,14.238178083561706,33.92386314025771,164.84452504121555,57.50852950992021,-68.20917226851043,,,,,,,,,,,,
291,2025-10-19,6,2025-10,6,36,30,35,2025-10-19 05:00:00,2025-10-19 06:00:00,6,True,83.5644253533034,190.76158604614466,109.1952873386017,1.0721873386014522,2.5755102089265165,27.979287523877247,169.80269366366883,,,,,,,,,,,,
292,2025-10-20,0,2025-10,6,36,30,35,2025-10-20 05:00:00,2025-10-20 06:00:00,6,True,3.045963418543124,-50.64416915566608,-218.1086433622154,-187.5505781874681,59.80448290044751,257.8453342015141,156.92935411464669,,,,,,,,,,,,
293,2025-10-21,1,2025-10,6,36,30,35,2025-10-21 05:00:00,2025-10-21 06:00:00,6,True,159.59862125673604,-104.65173718208644,-52.02895876251887,173.44688429184043,344.29313089162997,293.1726414371087,303.35976686444246,,,,,,,,,,,,
294,2025-10-22,2,2025-10,6,36,30,35,2025-10-22 05:00:00,2025-10-22 06:00:00,6,True,57.78843208435978,111.77168730054836,88.85801697017587,-34.85826625166919,-36.5619080198353,90.66793483040055,126.8531276765384,,,,,,,,,,,,
295,2025-10-23,3,2025-10,6,36,30,35,2025-10-23 05:00:00,2025-10-23 06:00:00,6,True,15.84016468731314,-52.580527177410204,-64.47730728092938,-18.912776978309466,127.33227556261227,116.98575117532573,-13.306427177410114,,,,,,,,,,,,
296,2025-10-24,4,2025-10,6,36,30,35,2025-10-24 05:00:00,2025-10-24 06:00:00,6,True,139.46148187518142,105.84781466869208,30.047614668692404,-14.590391339989765,67.66259055267665,275.6142412793092,372.18702142170787,,,,,,,,,,,,
297,2025-10-25,5,2025-10,6,36,30,35,2025-10-25 05:00:00,2025-10-25 06:00:00,6,True,38.449530385265085,53.14006426261949,-78.86383109558528,-144.97601435846627,-67.55823513521864,226.78273142843636,242.17246720980484,,,,,,,,,,,,
298,2025-10-26,6,2025-10,6,36,30,35,2025-10-26 05:00:00,2025-10-26 06:00:00,6,True,-47.75124378717479,-168.2092159644585,-312.5044554916135,-58.24613037290419,277.04544031771184,63.146718990735735,-87.73982020252015,,,,,,,,,,,,
299,2025-10-27,0,2025-10,6,36,30,35,2025-10-27 05:00:00,2025-10-27 06:00:00,6,True,21.229025704846055,48.74313828727236,-17.85001071234774,-87.08932262809458,-16.459878438140095,90.74915525839833,109.28107246198806,,,,,,,,,,,,
300,2025-10-28,1,2025-10,6,36,30,35,2025-10-28 05:00:00,2025-10-28 06:00:00,6,True,-52.70664406089903,-15.20053828024811,44.54679279619177,41.09105358965462,9.221579362022567,-220.67315232950205,-175.22559950351297,,,,,,,,,,,,
301,2025-10-29,2,2025-10,6,36,30,35,2025-10-29 05:00:00,2025-10-29 06:00:00,6,True,41.07661339851287,-254.58678296722155,-47.736512921292615,114.75944947046128,125.62252505888819,238.06832016860972,70.33268158163219,,,,,,,,,,,,
302,2025-10-30,3,2025-10,6,36,30,35,2025-10-30 05:00:00,2025-10-30 06:00:00,6,True,-61.853798898981495,0.7190215990794968,-86.65620698876137,-101.32053906637793,-70.78373643597615,-58.49454229457069,-54.58679020728232,,,,,,,,,,,,
303,2025-10-31,4,2025-10,6,36,30,35,2025-10-31 05:00:00,2025-10-31 06:00:00,6,True,64.13151887337585,-114.92948861517971,-41.28333588707619,173.5831771161197,296.9157655201948,126.42919125662047,-55.92619615042395,,,,,,,,,,,,
304,2025-11-01,5,2025-11,6,36,30,35,2025-11-01 05:00:00,2025-11-01 06:00:00,6,True,4.0615869689318815,-188.84968513249623,26.38770517506464,164.33986574754817,27.9058052286382,-35.591437375494934,30.177268170331445,,,,,,,,,,,,
305,2025-11-02,6,2025-11,6,36,30,35,2025-11-02 05:00:00,2025-11-02 06:00:00,6,True,123.5118840720204,254.31257727231423,430.09079878388184,130.50411869987556,-134.01944008595956,-45.26776289698,105.4510126589903,,,,,,,,,,,,
306,2025-11-03,0,2025-11,6,36,30,35,2025-11-03 05:00:00,2025-11-03 06:00:00,6,True,67.19547827516226,-14.740433109936475,275.0596176042918,308.4798909609626,19.80509666662556,-156.2213532603787,-29.209949210591276,,,,,,,,,,,,
307,2025-11-04,1,2025-11,6,36,30,35,2025-11-04 05:00:00,2025-11-04 06:00:00,6,True,51.834238341932256,-44.50363415851916,29.749332647612846,78.44393072026514,123.59142236798789,56.952163203799046,66.77221527044776,,,,,,,,,,,,
308,2025-11-05,2,2025-11,6,36,30,35,2025-11-05 05:00:00,2025-11-05 06:00:00,6,True,94.71459275581394,315.482854294924,177.36906140571955,62.1185740175888,44.79998051737948,1.6658742368435924,-33.1487879375718,,,,,,,,,,,,
309,2025-11-06,3,2025-11,6,36,30,35,2025-11-06 05:00:00,2025-11-06 06:00:00,6,True,100.03305216651695,-93.2741152880244,-17.181972702872827,78.11217397940709,221.39921551711996,254.3555400331843,156.78747146028763,,,,,,,,,,,,
310,2025-11-07,4,2025-11,6,36,30,35,2025-11-07 05:00:00,2025-11-07 06:00:00,6,True,-22.662833777311032,-57.620368200648954,-43.801671906169304,28.575000654882388,98.76988065919431,-60.433402989647675,-101.46644088147696,,,,,,,,,,,,
311,2025-11-08,5,2025-11,6,36,30,35,2025-11-08 05:00:00,2025-11-08 06:00:00,6,True,-82.18668364692128,-70.32648817092604,-108.99358822947897,-167.50429556228755,-143.5782266280894,-39.818576019476495,37.10107272873074,,,,,,,,,,,,
312,2025-11-09,6,2025-11,6,36,30,35,2025-11-09 05:00:00,2025-11-09 06:00:00,6,True,-17.940717210250643,-184.16540118274816,98.1691402462111,140.12710542706418,-114.80289946121866,-110.77509387989767,63.80284558908534,,,,,,,,,,,,
313,2025-11-10,0,2025-11,6,36,30,35,2025-11-10 05:00:00,2025-11-10 06:00:00,6,True,12.344184123856166,32.27682278885595,-67.02642633472078,-107.02894055110528,-6.3596962963883925,107.59195439517316,114.61139074132234,,,,,,,,,,,,
314,2025-11-11,1,2025-11,6,36,30,35,2025-11-11 05:00:00,2025-11-11 06:00:00,6,True,-8.513184871806137,-76.02873200377189,31.531257963886674,80.46638645836947,-7.757557580021967,-34.455391237504955,-44.83507283179415,,,,,,,,,,,,
315,2025-11-12,2,2025-11,6,36,30,35,2025-11-12 05:00:00,2025-11-12 06:00:00,6,True,-52.839132036393494,59.427242692057916,-95.7955040671959,-6.564748880859952,116.71665503094937,-116.12742768213866,-274.69100931117373,,,,,,,,,,,,
316,2025-11-13,3,2025-11,6,36,30,35,2025-11-13 05:00:00,2025-11-13 06:00:00,6,True,-68.78076969366339,73.17423609359957,148.16946225419042,-43.333530316293945,-295.5500782613685,-277.0362817482437,-18.10842618386414,,,,,,,,,,,,
317,2025-11-14,4,2025-11,6,36,30,35,2025-11-14 05:00:00,2025-11-14 06:00:00,6,True,57.605027759623376,-17.935660043460302,82.56534725449092,138.73939103596786,142.31090962194548,-6.22474010601627,6.174918794812584,,,,,,,,,,,,
318,2025-11-15,5,2025-11,6,36,30,35,2025-11-15 05:00:00,2025-11-15 06:00:00,6,True,-0.1588682573751612,-65.4448499524633,13.670972326263382,75.17607401771465,10.13321244593817,-15.98723638752881,-18.501381994175063,,,,,,,,,,,,
319,2025-11-16,6,2025-11,6,36,30,35,2025-11-16 05:00:00,2025-11-16 06:00:00,6,True,79.51013187337055,-55.183747135425165,-19.221879399021418,191.72002181066728,291.2983918404475,56.29541381001718,12.152590313537985,,,,,,,,,,,,
320,2025-11-17,0,2025-11,6,36,30,35,2025-11-17 05:00:00,2025-11-17 06:00:00,6,True,-18.96226091232423,-71.22552665890771,182.20840960235,272.844248824259,-48.44738965710894,-190.91913743268287,-258.23417015185487,,,,,,,,,,,,
321,2025-11-18,1,2025-11,6,36,30,35,2025-11-18 05:00:00,2025-11-18 06:00:00,6,True,-96.11781437851914,-45.98345136224816,87.02831021763132,-87.16683450496475,-376.09681968503037,-154.55495919126497,0.06686825476208469,,,,,,,,,,,,
322,2025-11-19,2,2025-11,6,36,30,35,2025-11-19 05:00:00,2025-11-19 06:00:00,6,True,39.25642336131864,115.16108445559985,107.95794781910581,-73.79915858262348,-100.21862296591735,-57.73839099541101,244.175680437158,,,,,,,,,,,,
323,2025-11-20,3,2025-11,6,36,30,35,2025-11-20 05:00:00,2025-11-20 06:00:00,6,True,28.555260008134457,-2.3035779078859377,-73.96237319672036,-24.252306592707555,200.6410065227301,131.19914729526226,-59.99033607187175,,,,,,,,,,,,
324,2025-11-21,4,2025-11,6,36,30,35,2025-11-21 05:00:00,2025-11-21 06:00:00,6,True,-3.098718640143337,-33.855054713250865,-45.933334496049156,-24.54042455890567,-39.70367419419972,65.40203915320853,60.03813696833686,,,,,,,,,,,,
325,2025-11-22,5,2025-11,6,36,30,35,2025-11-22 05:00:00,2025-11-22 06:00:00,6,True,-0.6601407294983043,32.79485243459885,115.01966399168805,138.5961870338865,31.644107002493,-200.94812848776974,-121.0675263518865,,,,,,,,,,,,
326,2025-11-23,6,2025-11,6,36,30,35,2025-11-23 05:00:00,2025-11-23 06:00:00,6,True,100.4184117074517,261.1984693379777,-8.859981190903454,-99.10487965252923,131.94718418349248,205.9259431395917,111.40373442708096,,,,,,,,,,,,
327,2025-11-24,0,2025-11,6,36,30,35,2025-11-24 05:00:00,2025-11-24 06:00:00,6,True,-19.57315092118938,-3.897172684709858,-83.29395814916916,79.48752732963294,212.40566629908653,-131.1276229820346,-191.01334533994213,,,,,,,,,,,,
328,2025-11-25,1,2025-11,6,36,30,35,2025-11-25 05:00:00,2025-11-25 06:00:00,6,True,-25.628749859252213,151.48824841364876,-9.683140526792613,-128.09637389361797,-20.921790372768555,6.006911780717019,-152.56635455669993,,,,,,,,,,,,
329,2025-11-26,2,2025-11,6,36,30,35,2025-11-26 05:00:00,2025-11-26 06:00:00,6,True,-0.11954312660274506,-141.7950115098156,-61.60087642837425,58.816370772553455,109.40908944909143,27.64697751652784,6.806191440400653,,,,,,,,,,,,
330,2025-11-27,3,2025-11,6,36,30,35,2025-11-27 05:00:00,2025-11-27 06:00:00,6,True,49.53961818312822,188.72454407582973,66.06419363543364,-13.967459894918193,5.337394866300201,-16.253331344200433,67.33236776032436,,,,,,,,,,,,
331,2025-11-28,4,2025-11,6,36,30,35,2025-11-28 05:00:00,2025-11-28 06:00:00,6,True,-41.63377773142626,265.6474969541737,-44.8401966823385,-243.52709055506466,-136.0145343194381,-113.89307375972339,22.824731973833423,,,,,,,,,,,,
332,2025-11-29,5,2025-11,6,36,30,35,2025-11-29 05:00:00,2025-11-29 06:00:00,6,True,-37.034930193811306,-29.021292620629538,-1.4136443897423305,-24.801721094715504,-63.90205848227424,-16.324657272314198,-86.74620730319202,,,,,,,,,,,,
333,2025-11-30,6,2025-11,6,36,30,35,2025-11-30 05:00:00,2025-11-30 06:00:00,6,True,62.37331313148047,11.224606273137852,72.17385727407145,50.11950961547518,35.84994559120878,185.13551913336323,19.736440901626338,,,,,,,,,,,,
334,2025-12-01,0,2025-12,6,36,30,35,2025-12-01 05:00:00,2025-12-01 06:00:00,6,True,542.3283163256291,398.6146375000608,661.102567423327,727.8820041994882,451.232828167962,397.305632957748,617.8322277051884,,,,,,,,,,,,
335,2025-12-02,1,2025-12,6,36,30,35,2025-12-02 05:00:00,2025-12-02 06:00:00,6,True,558.4425978305221,563.4193807239417,854.602325481987,701.7930808019305,261.5623021117458,363.8968170615967,605.381680801931,,,,,,,,,,,,
336,2025-12-03,2,2025-12,6,36,30,35,2025-12-03 05:00:00,2025-12-03 06:00:00,6,True,436.8333576777729,462.0550271273896,217.71416110342398,295.3396281750024,544.90548235385,546.2709621061704,554.7148852008008,,,,,,,,,,,,
337,2025-12-04,3,2025-12,6,36,30,35,2025-12-04 05:00:00,2025-12-04 06:00:00,6,True,112.30099838800963,-21.04254453184285,174.3644074374056,205.22418666784097,71.25319035476195,40.11510243443945,203.89164796545265,,,,,,,,,,,,
338,2025-12-05,4,2025-12,6,36,30,35,2025-12-05 05:00:00,2025-12-05 06:00:00,6,True,159.2888357626889,376.482451782706,162.903132493685,157.58333544647348,208.2664222608887,92.2052222608886,-41.70754966850836,,,,,,,,,,,,
339,2025-12-06,5,2025-12,6,36,30,35,2025-12-06 05:00:00,2025-12-06 06:00:00,6,True,-20.37715601299131,262.57081108118746,-46.853174298641534,-177.01687712523426,-77.92117712523395,-106.94807429864204,23.90555568861646,,,,,,,,,,,,
340,2025-12-07,6,2025-12,6,36,30,35,2025-12-07 05:00:00,2025-12-07 06:00:00,6,True,55.26899019326137,110.65810729782788,201.5351834665862,178.7657830445114,-49.55984588962201,-192.68614087011292,82.90085411037762,,,,,,,,,,,,
341,2025-12-08,0,2025-12,6,36,30,35,2025-12-08 05:00:00,2025-12-08 06:00:00,6,True,-200.8294288677724,-36.80637896463304,-415.14405484857343,-456.4289519214808,-58.961706603861785,-21.403506603862297,-216.23197426422303,,,,,,,,,,,,
342,2025-12-09,1,2025-12,6,36,30,35,2025-12-09 05:00:00,2025-12-09 06:00:00,6,True,71.45677059401798,76.67785725567865,-231.4233409820854,-13.966384242346066,425.5920888592236,188.43918739804622,-16.57878472440916,,,,,,,,,,,,
343,2025-12-10,2,2025-12,6,36,30,35,2025-12-10 05:00:00,2025-12-10 06:00:00,6,True,229.31824946872788,358.4521712545202,445.04934897219346,243.52065191314523,18.466811913938272,132.24719816119796,178.17331459737215,,,,,,,,,,,,
344,2025-12-11,3,2025-12,6,36,30,35,2025-12-11 05:00:00,2025-12-11 06:00:00,6,True,162.58360244076889,134.83125299658877,112.98073284971906,198.516626624501,313.48041331711056,140.02378174804744,75.66880710864643,,,,,,,,,,,,
345,2025-12-12,4,2025-12,6,36,30,35,2025-12-12 05:00:00,2025-12-12 06:00:00,6,True,60.55676948688961,-188.04890123039968,102.40219876960009,228.67599876960003,3.691098769600103,59.97651907654745,156.64370276638965,,,,,,,,,,,,
346,2025-12-13,5,2025-12,6,36,30,35,2025-12-13 05:00:00,2025-12-13 06:00:00,6,True,123.33280067856428,-78.52509088429133,96.1183982073344,148.92970983589248,151.58171597733053,149.30966755742293,272.58240337769666,,,,,,,,,,,,
347,2025-12-14,6,2025-12,6,36,30,35,2025-12-14 05:00:00,2025-12-14 06:00:00,6,True,121.315775530533,122.69611008455786,-67.7168899154417,-78.64586903024338,141.32227157206216,424.0602995025065,186.17873096975654,,,,,,,,,,,,
348,2025-12-15,0,2025-12,6,36,30,35,2025-12-15 05:00:00,2025-12-15 06:00:00,6,True,5.371881925892012,-67.03594010976121,49.884339544637896,88.6582761398904,7.245316822620225,-23.947579487606617,-22.573121354428622,,,,,,,,,,,,
349,2025-12-16,1,2025-12,6,36,30,35,2025-12-16 05:00:00,2025-12-16 06:00:00,6,True,63.79580399267335,7.747915191136144,7.404397277458884,52.070732117823354,64.3570416228913,96.07207879497219,155.12265895175824,,,,,,,,,,,,
350,2025-12-17,2,2025-12,6,36,30,35,2025-12-17 05:00:00,2025-12-17 06:00:00,6,True,266.2826263041299,-115.79583458773232,243.4161553960903,371.9403229554173,208.78717647838994,449.6971662662004,439.65077131641374,,,,,,,,,,,,
351,2025-12-18,3,2025-12,6,36,30,35,2025-12-18 05:00:00,2025-12-18 06:00:00,6,True,85.00454507890011,-15.495874422247198,41.78549207361175,-45.600602177813926,-61.75599539215682,296.91487047858845,294.1793799134184,,,,,,,,,,,,
352,2025-12-19,4,2025-12,6,36,30,35,2025-12-19 05:00:00,2025-12-19 06:00:00,6,True,38.23681673953168,129.92362754898159,188.3658137882071,42.14504640338282,-178.70297608753435,-85.50079615205141,133.19018493620433,,,,,,,,,,,,
353,2025-12-20,5,2025-12,6,36,30,35,2025-12-20 05:00:00,2025-12-20 06:00:00,6,True,103.92247412672464,46.110768910823936,147.57855580580326,189.42363230684487,134.1352698529431,218.2882965400304,-112.00167865609774,,,,,,,,,,,,
354,2025-12-21,6,2025-12,6,36,30,35,2025-12-21 05:00:00,2025-12-21 06:00:00,6,True,167.85096752861818,70.79306757412814,229.75795275909695,244.62841038548822,128.38707702852298,99.65946796031085,233.87982946416196,,,,,,,,,,,,
355,2025-12-22,0,2025-12,6,36,30,35,2025-12-22 05:00:00,2025-12-22 06:00:00,6,True,93.54278841039468,82.39460950888451,164.79433182664525,262.7205978929114,180.98406760285343,-54.19204267854866,-75.44483369037789,,,,,,,,,,,,
356,2025-12-23,1,2025-12,6,36,30,35,2025-12-23 05:00:00,2025-12-23 06:00:00,6,True,-153.2811857545499,-6.962084568973296,-173.06575230889393,-265.5749924231891,-237.6068503711963,-123.19096236814812,-113.28647248689867,,,,,,,,,,,,
357,2025-12-24,2,2025-12,6,36,30,35,2025-12-24 05:00:00,2025-12-24 06:00:00,6,True,-155.28107691091805,-145.9512958261589,-303.12306769063343,-157.34546687520924,149.90380931945674,-138.8920735177544,-336.27836687520903,,,,,,,,,,,,
358,2025-12-25,3,2025-12,6,36,30,35,2025-12-25 05:00:00,2025-12-25 06:00:00,6,True,-22.602571697300544,328.1910212071293,158.53729296060192,66.54698350745275,-49.765404904508614,-351.6458939089657,-287.4794290455129,,,,,,,,,,,,
359,2025-12-26,4,2025-12,6,36,30,35,2025-12-26 05:00:00,2025-12-26 06:00:00,6,True,-26.039674443008,-140.16026663271623,-265.44687385285306,-81.12667465228242,164.73146373460986,209.0694793974767,-43.30517465228286,,,,,,,,,,,,
360,2025-12-27,5,2025-12,6,36,30,35,2025-12-27 05:00:00,2025-12-27 06:00:00,6,True,-8.144301948669863,113.6239812572062,81.02647194375504,1.8355224238566734,-18.204806080399976,-141.24806663998515,-85.89891459645196,,,,,,,,,,,,
361,2025-12-28,6,2025-12,6,36,30,35,2025-12-28 05:00:00,2025-12-28 06:00:00,6,True,-111.53458457271275,165.72701573777704,-137.6012754906924,-149.55799209021689,56.85485535746193,-224.61706773193555,-380.01304321867065,,,,,,,,,,,,
362,2025-12-29,0,2025-12,6,36,30,35,2025-12-29 05:00:00,2025-12-29 06:00:00,6,True,-57.92259200815071,146.26395452194083,-30.275393985253686,-204.2518893698225,-122.46328893462396,56.65047734105474,-193.4594116221997,,,,,,,,,,,,
363,2025-12-30,1,2025-12,6,36,30,35,2025-12-30 05:00:00,2025-12-30 06:00:00,6,True,6.122343008815808,-134.4117612893615,32.86611577237909,84.34599620222161,-48.89920911136642,73.71432441798424,29.118592061037816,,,,,,,,,,,,
364,2025-12-31,2,2025-12,6,36,30,35,2025-12-31 05:00:00,2025-12-31 06:00:00,6,True,-35.25725882238377,183.90597205633094,233.85723070742824,75.43952267905388,-223.5022781578623,-324.6521652281481,-156.59183499110532,,,,,,,,,,,,
31,2025-02-01,5,2025-02,12,72,66,71,2025-02-01 11:00:00,2025-02-01 12:00:00,6,True,-226.97061650208926,,,,,,,-326.72329281561997,-349.98320922312587,-290.34686351766004,-185.23361024384485,-56.40527596031825,-153.13144725196662,,,,,,
32,2025-02-02,6,2025-02,12,72,66,71,2025-02-02 11:00:00,2025-02-02 12:00:00,6,True,-124.08915575255044,,,,,,,-27.164130674124863,-171.5904085957336,-346.033484847374,-253.54859457048406,96.65458338637654,-42.8528992139627,,,,,,
33,2025-02-03,0,2025-02,12,72,66,71,2025-02-03 11:00:00,2025-02-03 12:00:00,6,True,-124.66569038763828,,,,,,,-226.31707824719797,-365.34023477862956,-159.15739448922068,46.54370786371692,29.809234112844933,-73.53237678734331,,,,,,
34,2025-02-04,1,2025-02,12,72,66,71,2025-02-04 11:00:00,2025-02-04 12:00:00,6,True,-88.74908499092044,,,,,,,-286.1741106379268,12.0222712712266,153.71063440497346,-22.36541673429838,-215.10587106571438,-174.58201718378314,,,,,,
35,2025-02-05,2,2025-02,12,72,66,71,2025-02-05 11:00:00,2025-02-05 12:00:00,6,True,-122.83421892014864,,,,,,,-46.50922524480302,-120.56127690527865,-239.1908520857114,-219.02073570187258,-39.93699029540949,-71.78623328781669,,,,,,
36,2025-02-06,3,2025-02,12,72,66,71,2025-02-06 11:00:00,2025-02-06 12:00:00,6,True,90.65245721526829,,,,,,,221.079188983751,271.0674116645441,137.40418582027723,-48.576549998209885,14.83645167423856,-51.895944852991306,,,,,,
37,2025-02-07,4,2025-02,12,72,66,71,2025-02-07 11:00:00,2025-02-07 12:00:00,6,True,-73.90177181964084,,,,,,,-232.90607829396868,-285.793104519033,-60.7939357508385,9.371942101714922,96.99280267227505,29.717742872005147,,,,,,
38,2025-02-08,5,2025-02,12,72,66,71,2025-02-08 11:00:00,2025-02-08 12:00:00,6,True,-37.76580188206541,,,,,,,-12.019700841347913,48.82480727117036,10.80439307810775,-137.9013391801809,-110.18484213861257,-26.118129481529195,,,,,,
39,2025-02-09,6,2025-02,12,72,66,71,2025-02-09 11:00:00,2025-02-09 12:00:00,6,True,43.10981771800925,,,,,,,195.70788383278614,174.4650685019351,28.01488362231794,-174.58070243604107,-79.55426114569491,114.60603393275233,,,,,,
40,2025-02-10,0,2025-02,12,72,66,71,2025-02-10 11:00:00,2025-02-10 12:00:00,6,True,-106.55662477963931,,,,,,,51.973424231972785,162.70912423197296,30.00775695212178,-205.42429919303504,-393.3094120536416,-285.2963428472267,,,,,,
41,2025-02-11,1,2025-02,12,72,66,71,2025-02-11 11:00:00,2025-02-11 12:00:00,6,True,-88.85423696751423,,,,,,,-73.68461327510249,-149.6792568718056,-175.5035323590837,-194.54565449819074,-55.99858691325335,116.28622211235052,,,,,,
42,2025-02-12,2,2025-02,12,72,66,71,2025-02-12 11:00:00,2025-02-12 12:00:00,6,True,-84.70030009405203,,,,,,,-213.70460015989556,-143.59041500047442,80.42765171286555,115.74943235887713,-175.29745138095495,-171.78641809472992,,,,,,
43,2025-02-13,3,2025-02,12,72,66,71,2025-02-13 11:00:00,2025-02-13 12:00:00,6,True,-136.70110745200523,,,,,,,-69.60254391316812,-164.78340279818804,-100.62312619962631,-18.401135857433474,-218.58703795644942,-248.20939798716608,,,,,,
44,2025-02-14,4,2025-02,12,72,66,71,2025-02-14 11:00:00,2025-02-14 12:00:00,6,True,-45.00457654613759,,,,,,,-86.0665362261575,-5.85505776804348,11.486549989156629,-95.7573934163297,-40.658021725465915,-53.17700012998557,,,,,,
45,2025-02-15,5,2025-02,12,72,66,71,2025-02-15 11:00:00,2025-02-15 12:00:00,6,True,9.3024193364328,,,,,,,-73.28717543872744,66.00093829373964,156.69794430384127,135.59751208896523,-140.88398188114252,-88.31072134807937,,,,,,
46,2025-02-16,6,2025-02,12,72,66,71,2025-02-16 11:00:00,2025-02-16 12:00:00,6,True,-157.72770164195344,,,,,,,-118.32284720286498,-81.37317920859186,-219.59602068599725,-365.64758468114815,-190.49567947424657,29.069101401128137,,,,,,
47,2025-02-17,0,2025-02,12,72,66,71,2025-02-17 11:00:00,2025-02-17 12:00:00,6,True,0.7361314437177194,,,,,,,-203.54999011197924,-24.441916395571752,126.62501506577792,170.52407237115858,33.31407434625635,-98.05446661333553,,,,,,
